headline_id,headline_raw,headline_clean,label,domain,source
SHFN0035,Ma'aikatar kasuwanci ta bude shirin bunkasa sana'o'in mata a Zaria gabanin damina bayan kammala shirye shirye,ma aikatar kasuwanci ta bude shirin bunkasa sana o in mata a zaria gabanin damina bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0036,Kungiyar masu sana'a ta sanar da shirin bunkasa sana'o'in mata a Kano a wannan mako domin inganta ayyuka,kungiyar masu sana a ta sanar da shirin bunkasa sana o in mata a kano a wannan mako domin inganta ayyuka,Real,Business,daily nig hausa
SHFN0037,Kungiyar yan kasuwa ta sanar da shirin bunkasa sana'o'in mata a Kaduna a karshen mako bayan kammala shirye shirye,kungiyar yan kasuwa ta sanar da shirin bunkasa sana o in mata a kaduna a karshen mako bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0038,Hukumar kula da kananan sana'o'i ta bude shirin bunkasa sana'o'in mata a Daura gabanin damina bayan kammala shirye shirye,hukumar kula da kananan sana o i ta bude shirin bunkasa sana o in mata a daura gabanin damina bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0039,Kungiyar yan kasuwa ta sanar da rajistar masu sana'a a Zaria nan da kwanaki kadan bayan zaman tuntuba,kungiyar yan kasuwa ta sanar da rajistar masu sana a a zaria nan da kwanaki kadan bayan zaman tuntuba,Real,Business,daily nig hausa
SHFN0040,Kungiyar masu sana'a ta sanar da shirin horas da kananan yan kasuwa a Borno gabanin damina domin saukaka wa al'umma,kungiyar masu sana a ta sanar da shirin horas da kananan yan kasuwa a borno gabanin damina domin saukaka wa al umma,Real,Business,daily nig hausa
SHFN0041,Kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana'a a Gusau a wannan kakar domin saukaka wa al'umma,kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana a a gusau a wannan kakar domin saukaka wa al umma,Real,Business,leadership hausa
SHFN0042,Kasuwar gari ta bude rajistar masu sana'a a Adamawa a ranar Juma'a a matsayin wani bangare na sabon shiri,kasuwar gari ta bude rajistar masu sana a a adamawa a ranar juma a a matsayin wani bangare na sabon shiri,Real,Business,leadership hausa
SHFN0043,Hukumar kula da kananan sana'o'i ta sanar da tallafin kayan aiki ga masu sana'a a Borno gabanin damina bayan kammala shirye shirye,hukumar kula da kananan sana o i ta sanar da tallafin kayan aiki ga masu sana a a borno gabanin damina bayan kammala shirye shirye,Real,Business,leadership hausa
SHFN0044,Kungiyar yan kasuwa ta fara taron tattauna farashin kayan masarufi a Daura a farkon watan Janairu domin taimaka wa jama'a,kungiyar yan kasuwa ta fara taron tattauna farashin kayan masarufi a daura a farkon watan janairu domin taimaka wa jama a,Real,Business,leadership hausa
SHFN0045,Hukumar kula da kananan sana'o'i ta bude kasuwar baje koli a Gusau gabanin damina domin kara wayar da kai,hukumar kula da kananan sana o i ta bude kasuwar baje koli a gusau gabanin damina domin kara wayar da kai,Real,Business,leadership hausa
SHFN0046,Kungiyar yan kasuwa ta bude shirin horas da kananan yan kasuwa a Gombe gabanin damina domin taimaka wa jama'a,kungiyar yan kasuwa ta bude shirin horas da kananan yan kasuwa a gombe gabanin damina domin taimaka wa jama a,Real,Business,leadership hausa
SHFN0047,Hukumar bunkasa kasuwanci ta shirya tallafin kayan aiki ga masu sana'a ga masu sana'a a Hadejia a makon farko na shekara bayan kammala shirye shirye,hukumar bunkasa kasuwanci ta shirya tallafin kayan aiki ga masu sana a ga masu sana a a hadejia a makon farko na shekara bayan kammala shirye shirye,Real,Business,leadership hausa
SHFN0048,Hukumar kula da kananan sana'o'i ta sanar da shirin bunkasa sana'o'in mata a Kaduna a farkon watan Janairu domin taimaka wa jama'a,hukumar kula da kananan sana o i ta sanar da shirin bunkasa sana o in mata a kaduna a farkon watan janairu domin taimaka wa jama a,Real,Business,leadership hausa
SHFN0049,Hukumar kula da kananan sana'o'i ta bude kasuwar baje koli a Jigawa bayan taron shekara shekara domin kara wayar da kai,hukumar kula da kananan sana o i ta bude kasuwar baje koli a jigawa bayan taron shekara shekara domin kara wayar da kai,Real,Business,leadership hausa
SHFN0050,Hukumar kula da kananan sana'o'i ta bude shirin horas da kananan yan kasuwa a Gombe gabanin damina domin kara wayar da kai,hukumar kula da kananan sana o i ta bude shirin horas da kananan yan kasuwa a gombe gabanin damina domin kara wayar da kai,Real,Business,freedom radio
SHFN0051,Hukumar bunkasa kasuwanci ta fara shirin bunkasa sana'o'in mata a Kebbi a cikin wannan wata a matsayin wani bangare na sabon shiri,hukumar bunkasa kasuwanci ta fara shirin bunkasa sana o in mata a kebbi a cikin wannan wata a matsayin wani bangare na sabon shiri,Real,Business,freedom radio
SHFN0052,Kungiyar yan kasuwa ta fara shirin bunkasa sana'o'in mata a Abuja a wannan mako bayan kammala shirye shirye,kungiyar yan kasuwa ta fara shirin bunkasa sana o in mata a abuja a wannan mako bayan kammala shirye shirye,Real,Business,freedom radio
SHFN0053,Hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a Jigawa a cikin wannan wata domin saukaka wa al'umma,hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a jigawa a cikin wannan wata domin saukaka wa al umma,Real,Business,freedom radio
SHFN0054,Kungiyar yan kasuwa ta sanar da tallafin kayan aiki ga masu sana'a a Nasarawa a farkon watan Janairu domin saukaka wa al'umma,kungiyar yan kasuwa ta sanar da tallafin kayan aiki ga masu sana a a nasarawa a farkon watan janairu domin saukaka wa al umma,Real,Business,freedom radio
SHFN0055,Ma'aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana'a a Nasarawa a wannan kakar domin taimaka wa jama'a,ma aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana a a nasarawa a wannan kakar domin taimaka wa jama a,Real,Business,freedom radio
SHFN0056,Kasuwar gari ta bude shirin horas da kananan yan kasuwa a Zaria gabanin damina a matsayin wani bangare na sabon shiri,kasuwar gari ta bude shirin horas da kananan yan kasuwa a zaria gabanin damina a matsayin wani bangare na sabon shiri,Real,Business,freedom radio
SHFN0057,Ma'aikatar kasuwanci ta bude shirin horas da kananan yan kasuwa a Adamawa a cikin wannan wata domin kara wayar da kai,ma aikatar kasuwanci ta bude shirin horas da kananan yan kasuwa a adamawa a cikin wannan wata domin kara wayar da kai,Real,Business,freedom radio
SHFN0058,Kungiyar yan kasuwa ta bude tallafin kayan aiki ga masu sana'a a Jigawa a makon farko na shekara bayan kammala shirye shirye,kungiyar yan kasuwa ta bude tallafin kayan aiki ga masu sana a a jigawa a makon farko na shekara bayan kammala shirye shirye,Real,Business,freedom radio
SHFN0059,Kungiyar yan kasuwa ta shirya rajistar masu sana'a ga masu sana'a a Minna nan da kwanaki kadan bayan kammala shirye shirye,kungiyar yan kasuwa ta shirya rajistar masu sana a ga masu sana a a minna nan da kwanaki kadan bayan kammala shirye shirye,Real,Business,freedom radio
SHFN0060,Ma'aikatar kasuwanci ta fara kasuwar baje koli a Azare a ranar Litinin bayan kammala shirye shirye,ma aikatar kasuwanci ta fara kasuwar baje koli a azare a ranar litinin bayan kammala shirye shirye,Real,Business,rahama radio
SHFN0061,Kasuwar gari ta fara taron tattauna farashin kayan masarufi a Borno a wannan mako bayan kammala shirye shirye,kasuwar gari ta fara taron tattauna farashin kayan masarufi a borno a wannan mako bayan kammala shirye shirye,Real,Business,rahama radio
SHFN0062,Hukumar bunkasa kasuwanci ta shirya shirin horas da kananan yan kasuwa ga masu sana'a a Zaria a wannan mako domin taimaka wa jama'a,hukumar bunkasa kasuwanci ta shirya shirin horas da kananan yan kasuwa ga masu sana a a zaria a wannan mako domin taimaka wa jama a,Real,Business,rahama radio
SHFN0063,Kungiyar yan kasuwa ta fara taron tattauna farashin kayan masarufi a Sokoto a cikin wannan wata domin taimaka wa jama'a,kungiyar yan kasuwa ta fara taron tattauna farashin kayan masarufi a sokoto a cikin wannan wata domin taimaka wa jama a,Real,Business,rahama radio
SHFN0064,Kungiyar yan kasuwa ta sanar da shirin bunkasa sana'o'in mata a Azare a wannan mako domin kara wayar da kai,kungiyar yan kasuwa ta sanar da shirin bunkasa sana o in mata a azare a wannan mako domin kara wayar da kai,Real,Business,rahama radio
SHFN0065,Kungiyar masu sana'a ta shirya shirin bunkasa sana'o'in mata ga masu sana'a a Borno gabanin damina domin inganta ayyuka,kungiyar masu sana a ta shirya shirin bunkasa sana o in mata ga masu sana a a borno gabanin damina domin inganta ayyuka,Real,Business,rahama radio
SHFN0066,Kungiyar masu sana'a ta fara shirin bunkasa sana'o'in mata a Abuja a cikin wannan wata domin taimaka wa jama'a,kungiyar masu sana a ta fara shirin bunkasa sana o in mata a abuja a cikin wannan wata domin taimaka wa jama a,Real,Business,rahama radio
SHFN0067,Ma'aikatar kasuwanci ta sanar da tallafin kayan aiki ga masu sana'a a Kaduna a karshen mako domin saukaka wa al'umma,ma aikatar kasuwanci ta sanar da tallafin kayan aiki ga masu sana a a kaduna a karshen mako domin saukaka wa al umma,Real,Business,rahama radio
SHFN0068,Ma'aikatar kasuwanci ta fara tallafin kayan aiki ga masu sana'a a Kano a wannan kakar domin inganta ayyuka,ma aikatar kasuwanci ta fara tallafin kayan aiki ga masu sana a a kano a wannan kakar domin inganta ayyuka,Real,Business,rahama radio
SHFN0069,Hukumar kula da kananan sana'o'i ta shirya tallafin kayan aiki ga masu sana'a ga masu sana'a a Gombe a farkon watan Janairu bayan zaman tuntuba,hukumar kula da kananan sana o i ta shirya tallafin kayan aiki ga masu sana a ga masu sana a a gombe a farkon watan janairu bayan zaman tuntuba,Real,Business,rahama radio
SHFN0070,Hukumar kula da kananan sana'o'i ta bude kasuwar baje koli a Minna nan da kwanaki kadan bayan tattaunawa da masu ruwa da tsaki,hukumar kula da kananan sana o i ta bude kasuwar baje koli a minna nan da kwanaki kadan bayan tattaunawa da masu ruwa da tsaki,Real,Business,rahama radio
SHFN0071,Kungiyar masu sana'a ta shirya taron tattauna farashin kayan masarufi ga masu sana'a a Borno a makon farko na shekara bayan tattaunawa da masu ruwa da tsaki,kungiyar masu sana a ta shirya taron tattauna farashin kayan masarufi ga masu sana a a borno a makon farko na shekara bayan tattaunawa da masu ruwa da tsaki,Real,Business,rahama radio
SHFN0072,Ma'aikatar kasuwanci ta bude tallafin kayan aiki ga masu sana'a a Zaria a farkon watan Janairu domin kara wayar da kai,ma aikatar kasuwanci ta bude tallafin kayan aiki ga masu sana a a zaria a farkon watan janairu domin kara wayar da kai,Real,Business,rahama radio
SHFN0073,Kungiyar yan kasuwa ta shirya rajistar masu sana'a ga masu sana'a a Daura gabanin damina domin kara wayar da kai,kungiyar yan kasuwa ta shirya rajistar masu sana a ga masu sana a a daura gabanin damina domin kara wayar da kai,Real,Business,rahama radio
SHFN0074,Hukumar bunkasa kasuwanci ta sanar da kasuwar baje koli a Hadejia gabanin damina a matsayin wani bangare na sabon shiri,hukumar bunkasa kasuwanci ta sanar da kasuwar baje koli a hadejia gabanin damina a matsayin wani bangare na sabon shiri,Real,Business,rahama radio
SHFN0075,Kasuwar gari ta bude rajistar masu sana'a a Kebbi a cikin wannan wata a matsayin wani bangare na sabon shiri,kasuwar gari ta bude rajistar masu sana a a kebbi a cikin wannan wata a matsayin wani bangare na sabon shiri,Real,Business,rahama radio
SHFN0076,Hukumar bunkasa kasuwanci ta bude shirin bunkasa sana'o'in mata a Gombe a karshen mako domin kara wayar da kai,hukumar bunkasa kasuwanci ta bude shirin bunkasa sana o in mata a gombe a karshen mako domin kara wayar da kai,Real,Business,rahama radio
SHFN0077,Ma'aikatar kasuwanci ta fara tallafin kayan aiki ga masu sana'a a Gusau gabanin damina bayan zaman tuntuba,ma aikatar kasuwanci ta fara tallafin kayan aiki ga masu sana a a gusau gabanin damina bayan zaman tuntuba,Real,Business,rahama radio
SHFN0078,Hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a Bauchi a wannan kakar bayan kammala shirye shirye,hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a bauchi a wannan kakar bayan kammala shirye shirye,Real,Business,rahama radio
SHFN0079,Hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a Gombe a cikin wannan wata bayan kammala shirye shirye,hukumar bunkasa kasuwanci ta fara shirin horas da kananan yan kasuwa a gombe a cikin wannan wata bayan kammala shirye shirye,Real,Business,rahama radio
SHFN0080,Kasuwar gari ta shirya shirin bunkasa sana'o'in mata ga masu sana'a a Gombe a ranar Litinin domin kara wayar da kai,kasuwar gari ta shirya shirin bunkasa sana o in mata ga masu sana a a gombe a ranar litinin domin kara wayar da kai,Real,Business,rahama radio
SHFN0081,Kungiyar masu sana'a ta shirya tallafin kayan aiki ga masu sana'a ga masu sana'a a Gombe a farkon watan Janairu domin taimaka wa jama'a,kungiyar masu sana a ta shirya tallafin kayan aiki ga masu sana a ga masu sana a a gombe a farkon watan janairu domin taimaka wa jama a,Real,Business,rahama radio
SHFN0082,Hukumar kula da kananan sana'o'i ta shirya shirin bunkasa sana'o'in mata ga masu sana'a a Hadejia a karshen mako domin inganta ayyuka,hukumar kula da kananan sana o i ta shirya shirin bunkasa sana o in mata ga masu sana a a hadejia a karshen mako domin inganta ayyuka,Real,Business,rahama radio
SHFN0083,Hukumar bunkasa kasuwanci ta fara tallafin kayan aiki ga masu sana'a a Kano a farkon watan Janairu bayan tattaunawa da masu ruwa da tsaki,hukumar bunkasa kasuwanci ta fara tallafin kayan aiki ga masu sana a a kano a farkon watan janairu bayan tattaunawa da masu ruwa da tsaki,Real,Business,rahama radio
SHFN0084,Hukumar bunkasa kasuwanci ta bude shirin horas da kananan yan kasuwa a Minna a farkon watan Janairu bayan tattaunawa da masu ruwa da tsaki,hukumar bunkasa kasuwanci ta bude shirin horas da kananan yan kasuwa a minna a farkon watan janairu bayan tattaunawa da masu ruwa da tsaki,Real,Business,rahama radio
SHFN0085,Hukumar bunkasa kasuwanci ta fara shirin bunkasa sana'o'in mata a Borno a ranar Juma'a a matsayin wani bangare na sabon shiri,hukumar bunkasa kasuwanci ta fara shirin bunkasa sana o in mata a borno a ranar juma a a matsayin wani bangare na sabon shiri,Real,Business,voa hausa
SHFN0086,Hukumar kula da kananan sana'o'i ta shirya taron tattauna farashin kayan masarufi ga masu sana'a a Kebbi a ranar Litinin domin inganta ayyuka,hukumar kula da kananan sana o i ta shirya taron tattauna farashin kayan masarufi ga masu sana a a kebbi a ranar litinin domin inganta ayyuka,Real,Business,voa hausa
SHFN0087,Ma'aikatar kasuwanci ta fara shirin horas da kananan yan kasuwa a Gusau a makon farko na shekara bayan zaman tuntuba,ma aikatar kasuwanci ta fara shirin horas da kananan yan kasuwa a gusau a makon farko na shekara bayan zaman tuntuba,Real,Business,voa hausa
SHFN0088,Kungiyar masu sana'a ta sanar da taron tattauna farashin kayan masarufi a Daura a wannan mako bayan tattaunawa da masu ruwa da tsaki,kungiyar masu sana a ta sanar da taron tattauna farashin kayan masarufi a daura a wannan mako bayan tattaunawa da masu ruwa da tsaki,Real,Business,voa hausa
SHFN0089,Hukumar bunkasa kasuwanci ta bude kasuwar baje koli a Azare a farkon watan Janairu domin taimaka wa jama'a,hukumar bunkasa kasuwanci ta bude kasuwar baje koli a azare a farkon watan janairu domin taimaka wa jama a,Real,Business,voa hausa
SHFN0090,Hukumar bunkasa kasuwanci ta sanar da tallafin kayan aiki ga masu sana'a a Katsina a wannan mako bayan kammala shirye shirye,hukumar bunkasa kasuwanci ta sanar da tallafin kayan aiki ga masu sana a a katsina a wannan mako bayan kammala shirye shirye,Real,Business,voa hausa
SHFN0091,Hukumar kula da kananan sana'o'i ta fara shirin horas da kananan yan kasuwa a Borno a cikin wannan wata bayan kammala shirye shirye,hukumar kula da kananan sana o i ta fara shirin horas da kananan yan kasuwa a borno a cikin wannan wata bayan kammala shirye shirye,Real,Business,voa hausa
SHFN0092,Ma'aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana'a a Yobe a wannan mako domin inganta ayyuka,ma aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana a a yobe a wannan mako domin inganta ayyuka,Real,Business,voa hausa
SHFN0093,Hukumar bunkasa kasuwanci ta sanar da taron tattauna farashin kayan masarufi a Nasarawa a cikin wannan wata bayan tattaunawa da masu ruwa da tsaki,hukumar bunkasa kasuwanci ta sanar da taron tattauna farashin kayan masarufi a nasarawa a cikin wannan wata bayan tattaunawa da masu ruwa da tsaki,Real,Business,voa hausa
SHFN0094,Hukumar kula da kananan sana'o'i ta sanar da shirin bunkasa sana'o'in mata a Jigawa a ranar Juma'a bayan zaman tuntuba,hukumar kula da kananan sana o i ta sanar da shirin bunkasa sana o in mata a jigawa a ranar juma a bayan zaman tuntuba,Real,Business,voa hausa
SHFN0095,Kungiyar masu sana'a ta bude rajistar masu sana'a a Borno bayan taron shekara shekara bayan zaman tuntuba,kungiyar masu sana a ta bude rajistar masu sana a a borno bayan taron shekara shekara bayan zaman tuntuba,Real,Business,voa hausa
SHFN0096,Hukumar kula da kananan sana'o'i ta fara rajistar masu sana'a a Bauchi a farkon watan Janairu a matsayin wani bangare na sabon shiri,hukumar kula da kananan sana o i ta fara rajistar masu sana a a bauchi a farkon watan janairu a matsayin wani bangare na sabon shiri,Real,Business,voa hausa
SHFN0097,Kungiyar masu sana'a ta fara taron tattauna farashin kayan masarufi a Yobe a ranar Litinin domin inganta ayyuka,kungiyar masu sana a ta fara taron tattauna farashin kayan masarufi a yobe a ranar litinin domin inganta ayyuka,Real,Business,voa hausa
SHFN0098,Hukumar kula da kananan sana'o'i ta shirya rajistar masu sana'a ga masu sana'a a Zamfara a farkon watan Janairu a matsayin wani bangare na sabon shiri,hukumar kula da kananan sana o i ta shirya rajistar masu sana a ga masu sana a a zamfara a farkon watan janairu a matsayin wani bangare na sabon shiri,Real,Business,voa hausa
SHFN0099,Hukumar kula da kananan sana'o'i ta fara rajistar masu sana'a a Borno a ranar Juma'a domin saukaka wa al'umma,hukumar kula da kananan sana o i ta fara rajistar masu sana a a borno a ranar juma a domin saukaka wa al umma,Real,Business,voa hausa
SHFN0100,Ma'aikatar kasuwanci ta bude rajistar masu sana'a a Azare a farkon watan Janairu domin taimaka wa jama'a,ma aikatar kasuwanci ta bude rajistar masu sana a a azare a farkon watan janairu domin taimaka wa jama a,Real,Business,voa hausa
